graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
copresence-InVS15,1871,1283194,Insert,CSR,10332290.6,65885138,7793930,0.088,PCSR,PCSR,MATCH
copresence-InVS15,1871,1283194,Insert,PCSR,22721.8,21273451,1298010,0.045,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,BCSR,6499799.3,156458458,54219192,0.257,PCSR,PCSR,
copresence-InVS15,1871,1283194,Insert,SET,23707149.9,52674095,7256554,0.102,PCSR,PCSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,11284954,1627264,0.107,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,11887470,2774843,0.173,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,60170333,7232939,0.089,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,4390721039.6,35798511216,3047628146,0.063,CSR,CSR,
